_id,Tags,Category
655274330c54402acc16db3c,American (New),Menu Items
655274340c54402acc16db3d,American (Traditional),Menu Items
655274340c54402acc16db3e,Arcade,Venue Features
655274340c54402acc16db3f,Bar,Venue Types
655274340c54402acc16db40,Beer Bar,Venue Features
655274340c54402acc16db41,Bowling,Venue Features
655274340c54402acc16db42,Breakfast & Brunch,Menu Items
655274340c54402acc16db43,Brewery,Venue Types
655274340c54402acc16db44,Burgers,Menu Items
655274340c54402acc16db45,Cafe,Venue Types
655274340c54402acc16db46,Chicken Wings,Menu Items
655274340c54402acc16db47,Cinema,Venue Types
655274340c54402acc16db48,Cocktail Bar,Venue Features
655274340c54402acc16db49,Coffee & Tea,Menu Items
655274340c54402acc16db4a,Comfort Food,Menu Items
655274340c54402acc16db4b,Desserts,Menu Items
655274340c54402acc16db4c,Dive Bar,Venue Features
655274340c54402acc16db4d,Event Space,Venue Types
655274340c54402acc16db4e,Food Truck,Venue Types
655274340c54402acc16db4f,Gastropub,Venue Types
655274340c54402acc16db50,Grill,Venue Features
655274340c54402acc16db51,Irish,Menu Items
655274340c54402acc16db52,Karaoke,Venue Features
655274340c54402acc16db53,Lounge,Venue Types
655274340c54402acc16db54,Mexican,Menu Items
655274340c54402acc16db55,Mini Golf,Venue Features
655274340c54402acc16db56,Music Venue,Venue Types
655274340c54402acc16db57,Pizza,Menu Items
655274340c54402acc16db58,Pool Hall,Venue Features
655274340c54402acc16db59,Pub,Venue Types
655274340c54402acc16db5a,Sake Bar,Venue Features
655274340c54402acc16db5b,Small Plates,Menu Items
655274340c54402acc16db5c,Sport Bar,Venue Features
655274340c54402acc16db5d,Sushi,Menu Items
655274340c54402acc16db5e,Tapas,Menu Items
655274340c54402acc16db5f,Tex-Mex,Menu Items
655274340c54402acc16db60,Tiki Bar,Venue Features
655274340c54402acc16db61,Venue,Venue Types
655274340c54402acc16db62,Wine,Menu Items
655274340c54402acc16db63,Wine Bar,Venue Features
