_id,id,name,address,latitude,longitude,about,phone,website,image[0],image[1],image[2],image[3],image[4],image[5],image[6],friday,monday,saturday,sunday,thursday,tuesday,wednesday,yelp,amenities,facebook,instagram,price,rating,tags[0],tags[1],tags[2],tags[3],tags[4],review,moreabout
651cded4f721dadd5abf2237,catsbilliards,Cats Billiards," 143 S. LBJ Drive, San Marcos, TX 78666",29.88141,-97.93956,"Eight-foot pool tables and free pool with purchase. Juke box, cold beer and good friends.",5123960888,https://www.visitsanmarcos.com/listing/cats-billiards/390/,https://i.imgur.com/2rrECxp.jpg,https://i.imgur.com/nDcOB97.png,https://i.imgur.com/PHl1hxL.jpg,https://i.imgur.com/WC9cQFF.png,https://i.imgur.com/5pH1BfX.png,https://i.imgur.com/q197BfB.png,,2:00 PM – 2:00 AM,2:00 PM – 2:00 AM,2:00 PM – 2:00 AM,2:00 PM – 2:00 AM,2:00 PM – 2:00 AM,5:30 PM – 2:00 AM,2:00 PM – 2:00 AM,https://www.yelp.com/biz/cats-billards-san-marcos,"Accepts Credit Cards,Quiet,Good for Groups,Pool Table,Happy Hour Specials,Full Bar,TV,No Outdoor Seating,Not Good For Dancing,Bike Parking\n",,,$,4.2,Bar,Pool Hall,,,,213,"Step into the lively atmosphere of our establishment where eight-foot pool tables beckon you to showcase your skills, offering complimentary games with every purchase. The rhythmic tunes from our jukebox create a vibrant backdrop as you enjoy the company of good friends, surrounded by the clinking of cue balls and the laughter of camaraderie. Quench your thirst with a selection of cold beers that perfectly complement the friendly competition and the warmth of shared moments. Whether you're a seasoned pool player or just looking for a relaxed night out, our venue promises an inviting space where the love for the game, great music, and the joy of friendship seamlessly come together."
651e5014c7ff119bb2ec6dcc,patiodolcetto,Patio Dolcetto,"322 Cheatham Street, San Marcos, TX 78666",29.87682,-97.93679,"Enjoy dining and imbibing at Patio Dolcetto. Treat yourself to great wines, craft ciders, cocktails, martinis, craft beers and good food on the romantic patio. And trust us, you're going to want to save room for dessert!",5123663605,https://patiodolcetto.com/,https://i.imgur.com/u5W6rwg.jpg,https://i.imgur.com/IULQRj5.png,https://i.imgur.com/6UEK0dF.png,https://i.imgur.com/vtCdpiL.jpg,https://i.imgur.com/49UGL9h.jpg,https://i.imgur.com/t86NgVo.png,https://i.imgur.com/F8NNrvx.png,4:00 PM - 12:00 AM,4:00 PM - 11:00 PM,4:00 PM - 12:00 AM,12:00 PM - 10:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,4:00 PM - 11:00 PM,https://www.yelp.com/biz/patio-dolcetto-san-marcos,"Takes Reservations,Offers Takeout,No Delivery,Many Vegetarian Options,Accepts Credit Cards,Not Accepts Apple Pay,Not Accepts Cryptocurrency,Outdoor Seating,Romantic, Intimate, Classy, Casual,Quiet,Casual Dress,Good for Groups,Good for Dinner,Street Parking, Private Lot Parking,Waiter Service,Free Wi-Fi,Best nights on Saturday,Happy Hour Specials,Beer & Wine Only,Smoking Outside Only,Wheelchair Accessible,Gender-neutral restrooms,Heated Outdoor Seating,Covered Outdoor Seating,Not Good For Kids,Not Good For Dancing,No Drive-Thru,Dogs Not Allowed,No TV,Bike Parking,Compostable containers available",,https://www.instagram.com/patiodolcetto/,$$,4.7,Wine Bar,Pizza,Tapas,Small Plates,Bar,457,"Located in San Marcos and inspired by the beautiful river, Patio Dolcetto embodies the energy and class of the city with the laid back atmosphere of the Hill Country. Treat yourself to great wines, craft ciders, cocktails, martinis, craft beers and good food on the romantic patio. And trust us, you're going to want to save room for dessert! Enjoy dining and imbibing at Patio Dolcetto. "
651cdf34f721dadd5abf2239,cheathamstreet,Cheatham Street Warehouse,"119 Cheatham Street, San Marcos, TX 78666",29.87678,-97.93979,"There are very few music venues that have as much musical reverence and historical charm as Cheatham Street Warehouse. The place where George Strait, Randy Rogers, Stevie Ray Vaughan, Shelley King, John Arthur Martinez, Todd Snider, Slaid Cleaves, Terri Hendrix and many more honed their skills – Cheatham Street Warehouse is a music-lovers paradise. ",5123533777,https://cheathamstreet.com/,https://i.imgur.com/ALCrPUA.jpg,https://i.imgur.com/zI3IKor.jpg,https://i.imgur.com/iY3ZBHa.jpg,https://i.imgur.com/AxJ1oqi.png,https://i.imgur.com/ZzJfLda.jpg,https://i.imgur.com/qlETxbM.jpg,,3:00 PM – 2:00 AM,3:00 PM – 2:00 AM,3:00 PM – 2:00 AM,CLOSED,3:00 PM – 2:00 AM,3:00 PM – 2:00 AM,3:00 PM – 2:00 AM,https://www.yelp.com/biz/cheatham-street-warehouse-san-marcos-2,"Accepts Credit Cards,Divey,Casual,Loud,Good for Groups,Good For Dancing,Live Music,Beer & Wine Only,TV,No Outdoor Seating,Not Good For Kids,Bike Parking,Street Parking,Private Lot Parking",https://www.facebook.com/CheathamStreet/,https://www.instagram.com/CheathamStreet/,$,4.5,Music Venue,,,,,273,"  From the time Kent Finlay and his business partner, Jim Cunningham, leased a creaky old warehouse along the railroad tracks in San Marcos, Texas, and opened Cheatham Street Warehouse in June 1974, the honky tonk seemed destined for fame in Texas music history. An Austin hippie country band, Freda (Marcia Ball) and the Firedogs played to an overflow crowd on an unbelievable opening night. As Kent’s brother, Steve, recalled, “At least five people behind the bar were selling beer as fast as we could open them. The beer box was soon depleted of cold beer and we kept icing down beer in an old bathtub behind the bar!”"
651cdf95f721dadd5abf223f,blackrabbit,Black Rabbit Saloon,"127 E. Hopkins Street, San Marcos, TX 78666",29.88338,-97.9408,"The latest and greatest addition to the San Marcos nightlife scene! Enjoy cold beer on draft, a great selection of bottled beer, or partake in one of our specialty cocktails. Offering San Marcos' only 'big kids' game room, you can roll Skeeball, throw darts, play pool, or be challenged at any of our numerous video games! Come drink, come play. ",8666206667,https://www.facebook.com/BlackRabbitSaloon/,https://i.imgur.com/nBimlAT.jpg,https://i.imgur.com/Nl1HiVJ.jpg,https://i.imgur.com/xsrwuOK.jpg,https://i.imgur.com/RSGD1rP.jpg,https://i.imgur.com/zQ6s6ry.jpg,https://i.imgur.com/G7xY4oi.jpg,https://i.imgur.com/PXbaJj8.jpg,5:00 PM – 2:00 AM,5:00 PM – 2:00 AM,5:00 PM – 2:00 AM,5:00 PM – 2:00 AM,5:00 PM – 2:00 AM,5:00 PM – 2:00 AM,5:00 PM – 2:00 AM,https://www.yelp.com/biz/black-rabbit-saloon-san-marcos,"No Reservations,Accepts Credit Cards,Not Accepts Apple Pay,Casual,Very Loud,Good for Groups,Pool Table,Full Bar,TV,No Outdoor Seating,No Wi-Fi,No Smoking,Bike Parking",5:00 PM – 2:00 AM,https://www.instagram.com/blackrabbitsaloon/,$$,4.1,Bar,,,,,141,"Embark on an unforgettable nightlife experience at the newest sensation in San Marcos! Revel in the refreshing taste of cold beers on tap, a diverse array of bottled options, or indulge in the creativity of our specialty cocktails. Our venue boasts San Marcos' exclusive ""big kids"" game room, where the thrill of Skeeball, the precision of darts, the strategy of pool, and the excitement of various video games await your skill and enthusiasm. Whether you're looking for a casual night out or a lively challenge, our doors are open from Monday to Saturday, 5 pm to 2 am, and Sundays from 2 pm to 2 am. Come for the drinks, stay for the games, and let the vibrant energy of our establishment be the highlight of your San Marcos nights."
651f38bd1f8d452578e363a3,redbus,Red Bus Food Truck Park,"801 Chestnut Street, San Marcos, TX 78666",29.89227,-97.94198,Red Bus Food Park is home to the only 40-foot bus that is heated and cooled for dining with food trucks surrounding it. Opt for outside dining under the shade of the trees on the lot. Get a sweet dessert from the bakeshop on site.,5125371902,https://redbusfoodpark.com,https://i.imgur.com/wVzNMiK.jpg,https://i.imgur.com/ToVLzo1.jpg,https://i.imgur.com/ZTeSIMT.jpg,https://i.imgur.com/xIePMTF.jpg,https://i.imgur.com/jQC4rJc.jpg,https://i.imgur.com/QJm4G1f.jpg,,7:00 AM - 12:30 AM,8:00 AM - 7:00 PM,7:00 AM - 12:30 AM,CLOSED,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,7:00 AM - 11:00 PM,https://www.yelp.com/biz/red-bus-food-park-and-bar-san-marcos,"Offers Delivery,Offers Takeout,Pescatarian Options,Vegan Options,Accepts Credit Cards,Accepts Android Pay,Accepts Apple Pay,Outdoor Seating,Good For Kids,Street Parking, Private Lot Parking,Free Wi-Fi,Live Music,Beer & Wine Only,Smoking Outside Only,Dogs Allowed,Wheelchair Accessible,TV,Latinx-owned,Women-owned,Open to All,No Happy Hour,Bike Parking",https://www.facebook.com/RedBusFoodParkandBar/,https://www.instagram.com/redbusfoodparkandbar/,$,4.8,Bar,Food Truck,Karaoke,,,22,"Discover a unique dining experience at Red Bus Food Park, where innovation meets comfort. The centerpiece of our culinary haven is the only 40-foot bus equipped with both heating and cooling systems, ensuring a cozy atmosphere for year-round enjoyment. Surrounding the bus, an array of food trucks awaits, offering a diverse range of delectable options to satisfy every palate. Choose to embrace the outdoors with al fresco dining under the comforting shade of trees scattered throughout the lot. And for those with a sweet tooth, a delightful finale awaits at our on-site bakeshop, ready to treat you to a heavenly dessert to complete your culinary journey at Red Bus Food Park."
651f3a391f8d452578e363af,wakethedead,Wake The Dead Coffee House,"1432 Ranch Road 12, San Marcos, TX 78666",29.89165,-97.95669,This funky Tim Burton-esque serves breakfast and lunch. Choose from a variety of over 55 imported and domestic beers. Monthly exhibits showcase local artists. Monday - Sunday: 7am - 12am,5127549253,https://wakethedeadcoffeehouse.squarespace.com,https://i.imgur.com/bybL3SG.jpg,https://i.imgur.com/0pC126S.jpg,https://i.imgur.com/qEmfoai.png,https://i.imgur.com/YzZvlww.png,https://i.imgur.com/5SEe76G.jpg,https://i.imgur.com/prWSr3t.jpg,https://i.imgur.com/e7G3M7s.jpg,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,7:00 AM - 10:00 PM,https://www.yelp.com/biz/wake-the-dead-coffee-house-san-marcos,"Offers Takeout,Vegan Options,Accepts Credit Cards,Outdoor Seating,Moderate Noise,Good for Working,Street Parking,Private Lot Parking,Free Wi-Fi,Dogs Allowed,Gender-neutral restrooms,Offers Catering,Bike Parking",https://www.facebook.com/wakethedeadcoffeehouse/,https://www.instagram.com/wakethedeadcoffeehouse/,$,4.6,Coffee & Tea,Desserts,,,,815,"Funky Tim Burton-esque house with a variety of over 55 imported and domestic beer, wine, specialty espresso drinks, smoothies, breakfast and lunch choices, pastries and treats, monthly art exhibits, live music, hand-crafted items for sale, a beautiful landscaped courtyard, entertainment ... and of course, coffee!"
651cdfb3f721dadd5abf2240,axis,Axis,"202 N. LBJ Drive (Suite A), San Marcos, TX 78666",29.88346,-97.93997,"Axis is San Marcos' premier underground bar. Located right in downtown San Marcos at the heart of the square we feature karaoke, late night food, live entertainment, piano bar, and private events. Axis also has a courtyard for soaking up the lively San Marcos atmosphere.",5123923031,https://axisbarsmtx.com/,https://i.imgur.com/8ULg8qp.png,https://i.imgur.com/qE42tEZ.jpg,https://i.imgur.com/Xk9T8xl.png,https://i.imgur.com/M4G99R4.jpg,https://i.imgur.com/tzQjqEV.jpg,,,6:00 PM - 2:00 AM,6:00 PM - 2:00 AM,6:00 PM - 2:00 AM,6:00 PM - 2:00 AM,6:00 PM - 2:00 AM,6:00 PM - 2:00 AM,6:00 PM - 2:00 AM,https://www.yelp.com/biz/axis-san-marcos,"Accepts Credit Cards,Outdoor Seating,Trendy,Street Parking,Free Wi-Fi,Happy Hour Specials,Full Bar,Smoking Outside Only,Dogs Allowed,Wheelchair Accessible,TV,Bike Parking",https://www.facebook.com/axis78666/,https://www.instagram.com/axis78666/,$,3.8,Bar,Karaoke,,,,61,"Nestled in the vibrant pulse of Downtown San Marcos, Axis stands as a dynamic hub for entertainment enthusiasts. Boasting a trifecta of auditory delights, our venue beckons with karaoke nights that transform the stage into a symphony of diverse voices, live music that resonates with the energy of the city, and a piano bar where melodies effortlessly intertwine with the spirit of the night. As a unique touch, our courtyard provides an inviting space to revel in the lively San Marcos atmosphere, allowing patrons to bask in the energy of the city while enjoying the diverse entertainment offerings within Axis. Whether you're seeking the thrill of a live performance or the camaraderie of a piano sing-along, Axis is your downtown destination for an unforgettable night out."
651cdf51f721dadd5abf223a,chimys,Chimy's Cerveceria,"217 E. Hopkins Street, San Marcos, TX 78666",29.88354,-97.93942,"Head on over to Chimy's for a margarita the size of your head and a giant platter of nachos. Or a burger, or tacos, or maybe a chimychanga - whatever is calling your name... Monday-Saturday 11am-12am.",5122166175,http://chimys.com,https://i.imgur.com/n6sUziw.jpg,https://i.imgur.com/sCMrXnX.png,https://i.imgur.com/91mNTl8.jpg,https://i.imgur.com/1wx3jF7.jpg,https://i.imgur.com/20v9ei2.jpg,https://i.imgur.com/YggRFJ9.png,https://i.imgur.com/IQF3sxN.jpg,11:00 AM – 12:00 AM,11:00 AM – 12:00 AM,11:00 AM – 12:00 AM,12:00 PM – 10:00 PM,11:00 AM – 12:00 AM,11:00 AM – 12:00 AM,11:00 AM – 12:00 AM,https://www.yelp.com/biz/chimys-cerveceria-san-marcos,"Offers Delivery,Offers Takeout,No Reservations,Many Vegetarian Options,Accepts Credit Cards,Outdoor Seating,Casual, Trendy,Loud,Offers Catering,Good for Groups,Good for Lunch, Dinner, Late Night,Street Parking,Happy Hour Specials,Full Bar,TV,Not Good For Kids,No Wi-Fi,Bike Parking",https://www.facebook.com/profile.php?id=189990151035383,https://www.instagram.com/chimyssanmarcos/,$,4.1,Mexican,Burgers,Tex-Mex,,,360,"Just blocks from the river this watering hole is the perfect destination after tubing all day and the ideal place to grab some Tex-Mex and margaritas before you hit the square for a night out with friends! Head on over to Chimy's for a margarita the size of your head and a giant platter of nachos. Or a burger, or tacos, or maybe a chimychanga - whatever is calling your name..."
651e4b8667944ee39d43c71e,zelicks,Zelicks Icehouse,"336 W. Hopkins Street, San Marcos, TX 78666",29.8828375,-97.945398,"Rough 'n' ready roadhouse bar set in a 1930s gas station with TVs, games, a pool table & a patio. In May 2011, Zelicks was opened by brothers' Chase and Seth Katz, as a place that would attract diverse clientele to its friendly atmosphere, making it the perfect place to make new friends or catch up with old ones.",5127578787,http://www.zelickssmtx.com/,https://i.imgur.com/ikuh0yR.jpg,https://i.imgur.com/u56m28p.png,https://i.imgur.com/j0ZgbZg.jpg,https://i.imgur.com/gQkSDOS.jpg,https://i.imgur.com/sLVnmxh.png,https://i.imgur.com/k4YtjnJ.png,,12:00 PM  - 2:00 AM,3:00 PM  - 2:00 AM,12:00 PM  - 2:00 AM,12:00 PM  - 2:00 AM,12:00 PM  - 2:00 AM,3:00 PM  - 2:00 AM,3:00 PM  - 2:00 AM,https://www.yelp.com/biz/zelicks-san-marcos,"No Reservations,Accepts Credit Cards,Not Accepts Android Pay,Not Accepts Apple Pay,Not Accepts Cryptocurrency,Outdoor Seating,Casual,Moderate Noise,Good for Groups,Pool Table,Private Lot Parking,Free Wi-Fi,Best nights on Tuesday, Friday, Saturday,Happy Hour Specials,Full Bar,Smoking Outside Only,Dogs Allowed,Wheelchair Accessible,TV,Open to All,Heated Outdoor Seating,Covered Outdoor Seating,Not Good For Dancing,Bike Parking",https://www.facebook.com/Zelicks/,https://www.instagram.com/zelicks/,$$,4.6,Bar,,,,,756,"    Welcome to the best little icehouse in Texas. Come out and see what the ""Mystery Keg"" is every Friday. Experience this new, unique establishment to the San Marcos bar scene. In May 2011, Zelicks was opened by brothers, Chase and Seth Katz, bringing a new, unique establishment to the San Marcos bar scene. Chase and Seth had lived, studied, and worked in San Marcos for some time and opened Zelicks as a place that would attract diverse clientele to its friendly atmosphere, making it the perfect place to make new friends or catch up with old ones. The site itself was originally a 1930s gas station and still shows the remains of being so. Zelicks is full of interesting and original design features, including the old framed photos of the life of Jack Zelick Katz who is Seth and Chase's grandfather and the bar's namesake. Zelick was instrumental in the brothers' success as he provided their first-ever loan when opening their first business, Dos Gatos Kolache Bakery. After the success of the bakery, Chase and Seth chose to name the bar Zelicks as a tribute to their grandfather's faith and support in their entrepreneurial endeavors. The photos that line the walls of the bar show Zelick's life and the many places it has taken him - from its start in Lithuania, to Cape Town, Johannesburg, and finally, Toronto."
651f37c51f8d452578e3639d,middletonbrewing,Middleton Brewing,"101 Oakwood Loop, San Marcos, TX 78666",29.93049,-98.07176,"Four legs or two, everyone feels right at home at Middleton Brewing! We suggest getting a glass of anything that strikes your fancy and then head to the rooftop for beautiful Hill Country views. The laid-back atmosphere at Middleton really hits the spot after a long day of exploring. ",5128473435,http://www.middletonbrewingtx.com,https://i.imgur.com/aYIhEvB.jpg,https://i.imgur.com/Wp1f1Bh.jpg,https://i.imgur.com/ShOiC4w.png,https://i.imgur.com/iorzBt2.jpg,https://i.imgur.com/tisVLih.jpg,https://i.imgur.com/lWMCe80.jpg,https://i.imgur.com/Qt9zh6S.jpg,12:00 PM - 10:00 PM,2:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,2:00 PM - 10:00 PM,CLOSED,2:00 PM - 10:00 PM,https://www.yelp.com/biz/middleton-brewing-san-marcos-3,"No Reservations,No Takeout,Many Vegetarian Options,Accepts Credit Cards,Accepts Apple Pay,Outdoor Seating,Casual,Moderate Noise,Good for Groups,Private Lot Parking,Free Wi-Fi,Live Music,Beer & Wine Only,Smoking Outside Only,Offers Catering,Not Good For Dancing,No Pool Table,No TV,Bike Parking",https://www.facebook.com/middletonbrewingsmtx/,https://www.instagram.com/middletonbrewing/,$$,4.7,Brewery,Pub,,,,331,"Middleton Brewing welcomes all, whether you arrive on four legs or two, creating a warm and inclusive environment for everyone. Take a moment to savor a glass of your preferred brew, allowing your taste buds to guide your choice. For an extra touch of serenity, venture up to the rooftop, where you'll be greeted by breathtaking Hill Country views that complement the flavors of your beverage. The laid-back ambiance at Middleton Brewing is the perfect remedy for the fatigue of a day's exploration. Operating from Thursday to Monday, with opening hours extending from 2 pm to 10 pm on weekdays and starting from noon on weekends, Middleton caters to those seeking a leisurely escape. Don't miss the opportunity to enhance your experience with a Public Brew House Tour every Saturday at 2 pm, gaining insights into the craft that makes Middleton Brewing a standout destination."
